ticker6,name,market_cap,sma5,sma20,sma60,high20,prev_close,rsi14,vol_median20,macd_state,chg5d_pct
005930,삼성전자,1403106865920000.0,227500.0,259050.0,295240.1,318000.0,239500.0,44.26,27413486.0,bearish,-5.71
000660,SK하이닉스,1151986459605000.0,1511600.0,1857500.0,2106409.98,2343000.0,1567000.0,41.45,5961698.0,bearish,-13.71
005935,삼성전자우,141538280209200.0,166320.0,180830.0,195401.07,212500.0,178000.0,48.05,4147740.0,bearish,-1.0
402340,SK스퀘어,139875889160000.0,927400.0,1176250.0,1311909.59,1495000.0,1025000.0,42.55,914032.0,bearish,-6.48
009150,삼성전기,88512029760000.0,1069000.0,1332250.0,1558500.0,1828000.0,1181000.0,42.35,954031.0,bearish,-10.87
005380,현대차,80367423155000.0,369900.0,418800.0,550190.22,502000.0,393000.0,38.89,901592.0,golden_cross,-2.48
373220,LG에너지솔루션,76869000000000.0,315700.0,325275.0,378391.67,354500.0,316000.0,43.51,325190.0,bullish,-5.11
207940,삼성바이오로직스,68325443676000.0,1492600.0,1423700.0,1390866.67,1549000.0,1423000.0,49.54,50080.0,bullish,-7.9
105560,KB금융,59871289499200.0,166140.0,173440.0,162781.67,186200.0,169500.0,50.65,1541368.0,bearish,-1.8
032830,삼성생명,55600000000000.0,282700.0,320125.0,361341.67,393500.0,287500.0,40.95,478873.0,bearish,-7.7
028260,삼성물산,52299044872500.0,313000.0,354425.0,414641.67,449500.0,329000.0,43.48,622918.0,bearish,-3.09
012450,한화에어로스페이스,51769654604000.0,877200.0,940450.0,1083666.67,1159000.0,919000.0,45.61,205556.0,bullish,2.22
329180,HD현대중공업,50696271675000.0,456900.0,484525.0,596708.33,583000.0,470500.0,41.79,281162.0,bullish,-3.29
000270,기아,50597524540800.0,124900.0,140395.0,152718.33,160700.0,129600.0,42.58,1091722.0,bearish,-0.61
055550,신한지주,48024759449700.0,100532.0,104164.1,99428.3,108399.12,102700.0,51.37,1380016.0,bearish,-1.47
034020,두산에너빌리티,46760963658000.0,64100.0,70835.0,91516.67,85500.0,67700.0,41.35,2723698.0,bullish,-4.51
012330,현대모비스,43687738714500.0,459900.0,480525.0,558058.33,524000.0,493500.0,49.72,368478.0,bullish,6.47
068270,셀트리온,43208478574800.0,183260.0,176885.0,176643.97,190000.0,182200.0,55.06,568340.0,bullish,1.96
034730,SK,37556400154000.0,515700.0,588775.0,626458.33,667000.0,523000.0,42.2,236730.0,bearish,-16.05
035420,NAVER,35547870813000.0,204340.0,198150.0,212866.67,225000.0,207500.0,51.47,997556.0,bullish,-7.78
086790,하나금융지주,35009324644800.0,124060.0,128835.0,122782.58,136800.0,126900.0,50.94,1058754.0,bearish,-2.83
006400,삼성SDI,33805629835000.0,378200.0,417675.0,519275.0,467000.0,389500.0,41.79,483368.0,bearish,-9.63
010120,LS ELECTRIC,29550000000000.0,172560.0,190545.0,230981.67,223500.0,188400.0,47.18,856958.0,bearish,-5.8
000810,삼성화재,27681433260000.0,612400.0,638250.0,619166.67,701000.0,616000.0,47.36,97212.0,bearish,-4.5
066570,LG전자,26957407589000.0,155380.0,175200.0,210145.0,195800.0,158800.0,40.65,1354436.0,bearish,-7.84
042660,한화오션,26811171975000.0,80620.0,84540.0,105691.67,116100.0,83000.0,44.16,1926574.0,bullish,-6.53
009540,HD한국조선해양,26469145384000.0,362100.0,353225.0,386691.67,384500.0,368500.0,51.23,216424.0,bullish,-2.64
267260,HD현대일렉트릭,25809748660000.0,646200.0,777250.0,981633.43,929000.0,673000.0,38.41,153134.0,bearish,-15.56
005490,POSCO홀딩스,24802597951000.0,300800.0,307700.0,368025.79,323500.0,303500.0,44.06,303118.0,bullish,-3.96
298040,효성중공업,24756674940000.0,2227200.0,2625300.0,3333883.33,3117000.0,2495000.0,44.44,47778.0,bearish,-4.95
