date,rank,ticker6,name,predicted_gap,predicted_gap_net,actual_gap,actual_open_to_930,actual_high_pct,actual_low_pct,hit_gross,hit_net,tradeable_30m
2026-05-14,2,025560,미래산업,0.01778,0.01278,0.0,0.08009,0.17391,0.0,False,False,True
2026-05-15,1,254490,미래반도체,0.02671,0.02171,-0.00465,0.03621,0.10514,-0.05257,False,False,True
2026-05-15,2,080220,제주반도체,0.03194,0.02694,0.00794,0.08399,0.1378,-0.06693,True,True,True
2026-05-15,3,452280,한선엔지니어링,0.01499,0.00999,0.00825,0.0593,0.06339,-0.03476,True,True,True
2026-05-15,1,254490,미래반도체,0.02671,0.02171,-0.00465,0.03621,0.10514,-0.05257,False,False,True
2026-05-15,2,080220,제주반도체,0.03194,0.02694,0.00794,0.08399,0.1378,-0.06693,True,True,True
2026-05-15,3,452280,한선엔지니어링,0.01499,0.00999,0.00825,0.0593,0.06339,-0.03476,True,True,True
2026-05-18,1,003280,흥아해운,0.0522,0.0472,0.03102,-0.00708,0.07257,-0.01947,True,True,True
2026-05-18,2,001130,대한제분,0.06836,0.06336,-0.023,-0.03336,0.00196,-0.03597,False,False,False
2026-05-18,3,015590,DKME,0.01436,0.00936,0.0,-0.16248,0.0,-0.20436,False,False,False
2026-05-18,1,003280,흥아해운,0.0522,0.0472,0.03102,-0.00708,0.07257,-0.01947,True,True,True
2026-05-18,2,001130,대한제분,0.06836,0.06336,-0.023,-0.03336,0.00196,-0.03597,False,False,False
2026-05-18,3,015590,DKME,0.01436,0.00936,0.0,-0.16248,0.0,-0.20436,False,False,False
2026-05-19,1,003280,흥아해운,0.01801,0.01301,0.0539,-0.02646,0.01411,-0.03175,True,True,True
2026-05-19,2,009160,SIMPAC,0.00891,0.00391,-0.01167,-0.0371,0.00506,-0.05565,False,False,True
2026-05-19,3,018670,SK가스,0.00639,0.00139,-0.00802,-0.0101,0.00606,-0.01212,False,False,True
2026-05-19,1,003280,흥아해운,0.01801,0.01301,0.0539,-0.02646,0.01411,-0.03175,True,True,True
2026-05-19,2,009160,SIMPAC,0.00891,0.00391,-0.01167,-0.0371,0.00506,-0.05565,False,False,True
2026-05-19,3,018670,SK가스,0.00639,0.00139,-0.00802,-0.0101,0.00606,-0.01212,False,False,True
2026-05-20,1,007810,코리아써키트,0.00858,0.00358,0.06436,0.00581,0.01163,-0.03605,True,True,True
2026-05-20,1,007810,코리아써키트,0.00858,0.00358,0.06436,0.00581,0.01163,-0.03605,True,True,True
2026-05-21,1,388210,씨엠티엑스,0.10381,0.09881,0.03436,0.02448,0.03147,-0.00175,True,True,True
2026-05-21,2,274090,켄코아에어로스페이스,0.03197,0.02697,0.05383,-0.03733,0.02947,-0.04126,True,True,True
2026-05-21,3,338840,와이바이오로직스,0.07047,0.06547,0.01593,-0.01622,0.0027,-0.04054,True,True,False
2026-05-21,1,388210,씨엠티엑스,0.10381,0.09881,0.03436,0.02448,0.03147,-0.00175,True,True,True
2026-05-21,2,274090,켄코아에어로스페이스,0.03197,0.02697,0.05383,-0.03733,0.02947,-0.04126,True,True,True
