code,snapshot_date,market,name,market_cap,volume,yf_ticker
005930,2026-08-19,KOSPI,삼성전자,1446953955480000.0,22788552,005930.KS
000660,2026-08-19,KOSPI,SK하이닉스,1095738547500000.0,4223067,000660.KS
005935,2026-08-19,KOSPI,삼성전자우,139371877961100.0,3090997,005935.KS
402340,2026-08-19,KOSPI,SK스퀘어,132451693992000.0,628410,402340.KS
009150,2026-08-19,KOSPI,삼성전기,103600156352000.0,739938,009150.KS
005380,2026-08-19,KOSPI,현대차,84769715124000.0,552901,005380.KS
373220,2026-08-19,KOSPI,LG에너지솔루션,83655000000000.0,270199,373220.KS
207940,2026-08-19,KOSPI,삼성바이오로직스,71473228344000.0,28670,207940.KS
012450,2026-08-19,KOSPI,한화에어로스페이스,60690122977000.0,407773,012450.KS
105560,2026-08-19,KOSPI,KB금융,59020038937600.0,912179,105560.KS
028260,2026-08-19,KOSPI,삼성물산,56272150607000.0,276885,028260.KS
032830,2026-08-19,KOSPI,삼성생명,55200000000000.0,490065,032830.KS
000270,2026-08-19,KOSPI,기아,51924928734000.0,634199,000270.KS
329180,2026-08-19,KOSPI,HD현대중공업,49751620650000.0,186254,329180.KS
055550,2026-08-19,KOSPI,신한지주,49292275095000.0,1122893,055550.KS
034020,2026-08-19,KOSPI,두산에너빌리티,48810759325200.0,1818090,034020.KS
012330,2026-08-19,KOSPI,현대모비스,46182884747000.0,197443,012330.KS
068270,2026-08-19,KOSPI,셀트리온,45150993861600.0,375772,068270.KS
034730,2026-08-19,KOSPI,SK,39948989353000.0,106571,034730.KS
006400,2026-08-19,KOSPI,삼성SDI,39245153110000.0,394552,006400.KS
086790,2026-08-19,KOSPI,하나금융지주,34981887870000.0,681003,086790.KS
066570,2026-08-19,KOSPI,LG전자,32821254557000.0,858018,066570.KS
035420,2026-08-19,KOSPI,NAVER,32651337680000.0,733375,035420.KS
010120,2026-08-19,KOSPI,LS ELECTRIC,30300000000000.0,406266,010120.KS
000810,2026-08-19,KOSPI,삼성화재,27368900949000.0,84507,000810.KS
298040,2026-08-19,KOSPI,효성중공업,27115785584000.0,31283,298040.KS
267260,2026-08-19,KOSPI,HD현대일렉트릭,27107445520000.0,99051,267260.KS
042660,2026-08-19,KOSPI,한화오션,26995020011400.0,787112,042660.KS
009540,2026-08-19,KOSPI,HD한국조선해양,25973733572000.0,148664,009540.KS
005490,2026-08-19,KOSPI,POSCO홀딩스,25357288640000.0,178183,005490.KS
316140,2026-08-19,KOSPI,우리금융지주,24391004347000.0,1468877,316140.KS
010130,2026-08-19,KOSPI,고려아연,23899549505000.0,18300,010130.KS
096770,2026-08-19,KOSPI,SK이노베이션,21790904373200.0,451215,096770.KS
042700,2026-08-19,KOSPI,한미반도체,21063996200000.0,610160,042700.KS
017670,2026-08-19,KOSPI,SK텔레콤,21049425194000.0,1590159,017670.KS
011200,2026-08-19,KOSPI,HMM,20468263949000.0,1767571,011200.KS
015760,2026-08-19,KOSPI,한국전력,19804591775450.0,2264480,015760.KS
006800,2026-08-19,KOSPI,미래에셋증권,19416970736000.0,921986,006800.KS
000150,2026-08-19,KOSPI,두산,19319245155000.0,30071,000150.KS
138040,2026-08-19,KOSPI,메리츠금융지주,19278405849600.0,167580,138040.KS
051910,2026-08-19,KOSPI,LG화학,18777563238000.0,118663,051910.KS
033780,2026-08-19,KOSPI,KT&G,18218735028000.0,171926,033780.KS
010140,2026-08-19,KOSPI,삼성중공업,18128000000000.0,2366210,010140.KS
267250,2026-08-19,KOSPI,HD현대,18010423380000.0,86472,267250.KS
079550,2026-08-19,KOSPI,LIG디펜스앤에어로스페이스,17512000000000.0,113975,079550.KS
018260,2026-08-19,KOSPI,삼성에스디에스,17487382800000.0,195973,018260.KS
010950,2026-08-19,KOSPI,S-Oil,17067551267200.0,345770,010950.KS
003550,2026-08-19,KOSPI,LG,16661358840800.0,285777,003550.KS
035720,2026-08-19,KOSPI,카카오,16567492018000.0,1404986,035720.KS
024110,2026-08-19,KOSPI,기업은행,16187745140700.0,734442,024110.KS
086280,2026-08-19,KOSPI,현대글로비스,15262500000000.0,126897,086280.KS
064350,2026-08-19,KOSPI,현대로템,14876094535900.0,533282,064350.KS
272210,2026-08-19,KOSPI,한화시스템,14357873564000.0,549577,272210.KS
278470,2026-08-19,KOSPI,에이피알,14357532442500.0,149268,278470.KS
011070,2026-08-19,KOSPI,LG이노텍,14271265521000.0,138740,011070.KS
003670,2026-08-19,KOSPI,포스코퓨처엠,14258079066000.0,189626,003670.KS
030200,2026-08-19,KOSPI,KT,13256340631000.0,465732,030200.KS
047810,2026-08-19,KOSPI,한국항공우주,13227372019900.0,366811,047810.KS
000720,2026-08-19,KOSPI,현대건설,12972946622500.0,848390,000720.KS
005830,2026-08-19,KOSPI,DB손해보험,12281315437500.0,335169,005830.KS
307950,2026-08-19,KOSPI,현대오토에버,11970568143000.0,83982,307950.KS
078930,2026-08-19,KOSPI,GS,11119590751500.0,443707,078930.KS
006260,2026-08-19,KOSPI,LS,10389600000000.0,161876,006260.KS
323410,2026-08-19,KOSPI,카카오뱅크,10258089395500.0,648095,323410.KS
259960,2026-08-19,KOSPI,크래프톤,10219530009500.0,88896,259960.KS
071050,2026-08-19,KOSPI,한국금융지주,10203429135200.0,436344,071050.KS
003230,2026-08-19,KOSPI,삼양식품,9823051560000.0,51770,003230.KS
005940,2026-08-19,KOSPI,NH투자증권,9617819035250.0,700933,005940.KS
028050,2026-08-19,KOSPI,삼성E&A,9506000000000.0,1556206,028050.KS
443060,2026-08-19,KOSPI,HD현대마린솔루션,9392609870000.0,79074,443060.KS
003490,2026-08-19,KOSPI,대한항공,9223927558050.0,1943678,003490.KS
0126Z0,2026-08-19,KOSPI,삼성에피스홀딩스,9044988311500.0,74194,0126Z0.KS
277810,2026-08-19,KOSDAQ,레인보우로보틱스,8972434325000.0,112103,277810.KQ
047050,2026-08-19,KOSPI,포스코인터내셔널,8919285351600.0,528156,047050.KS
161390,2026-08-19,KOSPI,한국타이어앤테크놀로지,8435892198900.0,161262,161390.KS
009830,2026-08-19,KOSPI,한화솔루션,7792526372400.0,2659992,009830.KS
090430,2026-08-19,KOSPI,아모레퍼시픽,7785386222900.0,161771,090430.KS
180640,2026-08-19,KOSPI,한진칼,7764453047700.0,74500,180640.KS
007660,2026-08-19,KOSPI,이수페타시스,7663922463600.0,1527629,007660.KS
016360,2026-08-19,KOSPI,삼성증권,7590500000000.0,868233,016360.KS
352820,2026-08-19,KOSPI,하이브,7422997159200.0,159012,352820.KS
047040,2026-08-19,KOSPI,대우건설,7067611373600.0,3877992,047040.KS
039490,2026-08-19,KOSPI,키움증권,6963617898000.0,303599,039490.KS
005387,2026-08-19,KOSPI,현대차2우B,6943836498000.0,83472,005387.KS
064400,2026-08-19,KOSPI,LG씨엔에스,6878902308000.0,869158,064400.KS
326030,2026-08-19,KOSPI,SK바이오팜,6680120225000.0,101900,326030.KS
021240,2026-08-19,KOSPI,코웨이,6616754331000.0,126408,021240.KS
000100,2026-08-19,KOSPI,유한양행,6339949039600.0,199112,000100.KS
032640,2026-08-19,KOSPI,LG유플러스,6251820492360.0,776162,032640.KS
267270,2026-08-19,KOSPI,HD건설기계,6191509092400.0,215769,267270.KS
241560,2026-08-19,KOSPI,두산밥캣,5923904817000.0,124195,241560.KS
000880,2026-08-19,KOSPI,한화,5908563612200.0,0,000880.KS
353200,2026-08-19,KOSPI,대덕전자,5643412835000.0,678799,353200.KS
028300,2026-08-19,KOSDAQ,HLB,5607645188300.0,652583,028300.KQ
377300,2026-08-19,KOSPI,카카오페이,5579998256250.0,143784,377300.KS
001440,2026-08-19,KOSPI,대한전선,5487792688000.0,1332429,001440.KS
029780,2026-08-19,KOSPI,삼성카드,5416403154250.0,84388,029780.KS
062040,2026-08-19,KOSPI,산일전기,5383948745000.0,165311,062040.KS
010060,2026-08-19,KOSPI,OCI홀딩스,5180989380000.0,325349,010060.KS
039030,2026-08-19,KOSDAQ,이오테크닉스,5112613250000.0,130432,039030.KQ
175330,2026-08-19,KOSPI,JB금융지주,5073393612800.0,257712,175330.KS
128940,2026-08-19,KOSPI,한미약품,4977070003500.0,49525,128940.KS
271560,2026-08-19,KOSPI,오리온,4905522590800.0,114133,271560.KS
034220,2026-08-19,KOSPI,LG디스플레이,4795000000000.0,2015070,034220.KS
036570,2026-08-19,KOSPI,NC,4728912829000.0,84561,036570.KS
000500,2026-08-19,KOSPI,가온전선,4698906384600.0,77581,000500.KS
088350,2026-08-19,KOSPI,한화생명,4637950200000.0,3715814,088350.KS
454910,2026-08-19,KOSPI,두산로보틱스,4634628570000.0,396204,454910.KS
005385,2026-08-19,KOSPI,현대차우,4609839600000.0,52932,005385.KS
138930,2026-08-19,KOSPI,BNK금융지주,4549394303780.0,1185957,138930.KS
051900,2026-08-19,KOSPI,LG생활건강,4522607946000.0,51493,051900.KS
088980,2026-08-19,KOSPI,맥쿼리인프라,4516234393990.0,1868189,088980.KS
