code,snapshot_date,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,2026-06-04,KR7005930003,삼성전자,KOSPI,,351500,2,-9000,-2.5,349000,366000,348000,34771037,12341958993806,2054966930712000,5846278608,STK
000660,2026-06-04,KR7000660001,SK하이닉스,KOSPI,,2298000,2,-62000,-2.63,2284000,2327000,2262000,3941067,9036753877655,1637790034770000,712702365,STK
402340,2026-06-04,KR7402340004,SK스퀘어,KOSPI,,1361000,1,15000,1.11,1347000,1392000,1293000,858305,1164425731500,179595363346000,131958386,STK
005935,2026-06-04,KR7005931001,삼성전자우,KOSPI,,220000,2,-11500,-4.97,221000,230000,220000,7588895,1694988901318,176521664660000,802371203,STK
005380,2026-06-04,KR7005380001,현대차,KOSPI,,700000,2,-29000,-3.98,708000,727000,692000,1062671,748061379000,143330436200000,204757766,STK
009150,2026-06-04,KR7009150004,삼성전기,KOSPI,,1716000,2,-97000,-5.35,1790000,1844000,1707000,1435204,2524985686000,128174382336000,74693696,STK
373220,2026-06-04,KR7373220003,LG에너지솔루션,KOSPI,,422000,2,-20500,-4.63,448000,463000,413500,708012,301366681500,98748000000000,234000000,STK
032830,2026-06-04,KR7032830002,삼성생명,KOSPI,,438000,2,-42000,-8.75,440000,457000,417000,1025694,440414020375,87600000000000,200000000,STK
028260,2026-06-04,KR7028260008,삼성물산,KOSPI,,535000,1,49500,10.2,502000,565000,485000,1331923,699060907750,86759655835000,162167581,STK
329180,2026-06-04,KR7329180004,HD현대중공업,KOSPI,,651000,2,-22000,-3.27,684000,694000,651000,354983,236218371000,68329757475000,104961225,STK
012330,2026-06-04,KR7012330007,현대모비스,KOSPI,,748000,2,-11000,-1.45,721000,778000,713000,788548,587230483000,67867972084000,90732583,STK
000270,2026-06-04,KR7000270009,기아,KOSPI,,164300,2,-4500,-2.67,166000,168000,162000,1477518,243685800150,64144855571400,390412998,STK
